,precinct,total,Theft,Others,Accident,Murder,Fraud,Robbery,Public Nuisance,Assault,Arson,Drugs,Missing,Sex Crime,Gun Violence
0,0113,143,12.0,67.0,26.0,1.0,6.0,1.0,16.0,12.0,1.0,1.0,,,
1,0102,71,5.0,39.0,5.0,,2.0,1.0,9.0,10.0,,,,,
2,0105,131,11.0,77.0,12.0,3.0,1.0,3.0,12.0,7.0,2.0,,3.0,,
3,0203,41,4.0,21.0,2.0,,,2.0,10.0,2.0,,,,,
4,0205,36,8.0,19.0,1.0,1.0,,,5.0,1.0,1.0,,,,
5,0204,95,4.0,56.0,3.0,,1.0,2.0,12.0,16.0,,1.0,,,
6,0206,73,5.0,47.0,1.0,1.0,1.0,3.0,7.0,6.0,,1.0,1.0,,
7,0303,163,24.0,76.0,8.0,,2.0,19.0,13.0,17.0,,2.0,2.0,,
8,0304,133,12.0,67.0,8.0,1.0,2.0,6.0,19.0,13.0,1.0,3.0,1.0,,
9,0307,227,32.0,127.0,12.0,1.0,1.0,11.0,14.0,24.0,,1.0,4.0,,
10,0402,811,85.0,307.0,16.0,1.0,15.0,259.0,24.0,89.0,5.0,6.0,4.0,,
11,0401,105,10.0,49.0,2.0,1.0,1.0,19.0,13.0,4.0,1.0,1.0,4.0,,
12,0403,55,5.0,38.0,2.0,,,,4.0,5.0,1.0,,,,
13,0405,108,30.0,52.0,4.0,,3.0,5.0,5.0,8.0,,,1.0,,
14,0406,129,19.0,73.0,5.0,,2.0,8.0,15.0,6.0,,1.0,,,
15,0404,57,7.0,30.0,3.0,1.0,2.0,2.0,4.0,6.0,,2.0,,,
16,0408,238,25.0,136.0,17.0,3.0,7.0,8.0,15.0,24.0,2.0,,1.0,,
17,0409,78,5.0,42.0,13.0,,1.0,2.0,9.0,6.0,,,,,
18,0504,64,7.0,45.0,3.0,,,1.0,4.0,3.0,1.0,,,,
19,0503,380,33.0,185.0,9.0,2.0,4.0,27.0,19.0,38.0,1.0,62.0,,,
20,0501,418,59.0,208.0,18.0,5.0,6.0,19.0,44.0,42.0,3.0,11.0,3.0,,
21,0902,160,18.0,96.0,7.0,,2.0,5.0,15.0,12.0,,5.0,,,
22,0901,139,20.0,71.0,10.0,4.0,,3.0,14.0,15.0,1.0,1.0,,,
23,0502,152,19.0,76.0,7.0,,5.0,11.0,12.0,21.0,1.0,,,,
24,0603,91,7.0,54.0,4.0,1.0,,7.0,7.0,8.0,3.0,,,,
25,0605,98,10.0,55.0,3.0,,,4.0,12.0,14.0,,,,,
26,0606,52,5.0,29.0,3.0,2.0,3.0,1.0,4.0,4.0,,1.0,,,
27,0602,85,6.0,47.0,10.0,1.0,1.0,2.0,8.0,7.0,,1.0,2.0,,
28,0608,39,6.0,20.0,1.0,,3.0,1.0,4.0,3.0,1.0,,,,
29,0702,62,5.0,41.0,2.0,,,,7.0,5.0,2.0,,,,
30,0706,230,29.0,94.0,15.0,2.0,4.0,20.0,23.0,34.0,1.0,6.0,2.0,,
31,0805,202,11.0,108.0,21.0,2.0,3.0,2.0,27.0,15.0,3.0,2.0,6.0,2.0,
32,0803,381,40.0,194.0,26.0,2.0,9.0,19.0,28.0,48.0,1.0,7.0,7.0,,
33,1201,1507,395.0,403.0,58.0,2.0,128.0,25.0,275.0,162.0,2.0,10.0,47.0,,
34,0905,367,29.0,193.0,25.0,4.0,2.0,17.0,35.0,49.0,,13.0,,,
35,1002,103,4.0,58.0,7.0,,3.0,7.0,16.0,7.0,,,1.0,,
36,1001,50,1.0,27.0,4.0,,1.0,2.0,3.0,10.0,,,2.0,,
37,0904,342,29.0,192.0,27.0,3.0,1.0,15.0,33.0,28.0,1.0,6.0,7.0,,
38,0903,283,27.0,155.0,14.0,3.0,4.0,12.0,30.0,30.0,2.0,1.0,5.0,,
