Offence,Latitude,Longitude
Robbery,42.33367922,-71.09187755
Others,42.33367922,-71.09187755
Others,42.33367922,-71.09187755
Others,0.0,0.0
Theft,42.28482577,-71.09137369
Others,42.30638323,-71.06021218
Accident,42.36118996,-71.06287997
Theft,42.31176765,-71.09971564
Fraud,42.32866284,-71.08563401
Fraud,42.35673302,-71.05755938
Theft,42.32866284,-71.08563401
Theft,42.27245651,-71.10731992
Fraud,42.30971857,-71.10429432
Others,42.25621592,-71.12401947
Theft,42.33654138,-71.15048535
Theft,42.32866284,-71.08563401
Fraud,42.349056,-71.1504985
Public Nuisance,42.29755533,-71.0597091
Others,42.37081805,-71.03929078
Others,42.29360585,-71.0718865
Fraud,42.29755533,-71.0597091
Theft,42.31043752,-71.10692701
Theft,42.36183857,-71.05976489
Accident,42.32866284,-71.08563401
Robbery,42.3479724,-71.07849582
Theft,42.33954199,-71.06940877
Theft,42.33123776,-71.09140736
Fraud,42.37081805,-71.03929078
Theft,42.2591535,-71.1596965
Theft,42.3412875,-71.05467933
Assault,42.37663167,-71.05593195
Theft,42.34825252,-71.06924615
Public Nuisance,42.32809966,-71.06321676
Public Nuisance,42.28482577,-71.09137369
Robbery,42.33845708,-71.07309843
Theft,42.349056,-71.1504985
Assault,42.34862382,-71.08277637
Accident,42.25621592,-71.12401947
Theft,42.3412875,-71.05467933
Theft,42.31153823,-71.06623272
Public Nuisance,42.25621592,-71.12401947
Theft,42.38635291,-71.00782032
Others,42.25621592,-71.12401947
Public Nuisance,42.31862926,-71.07271365
Missing,42.2729835,-71.0780497
Assault,42.27378858,-71.12006473
Theft,42.3412875,-71.05467933
Public Nuisance,42.30846803,-71.08327695
Theft,42.33954199,-71.06940877
Public Nuisance,42.28431486,-71.07410838
Theft,42.36183857,-71.05976489
Theft,42.27138861,-71.06815938
Public Nuisance,42.34617476,-71.0792592
Theft,42.25621592,-71.12401947
Robbery,42.38777475,-71.01769231
Theft,42.29970367,-71.11370354
Public Nuisance,42.34862382,-71.08277637
Public Nuisance,42.30098009,-71.06869928
Theft,42.34862382,-71.08277637
Public Nuisance,42.270298,-71.09957499
Others,42.38259067,-71.03769465
Others,0.0,0.0
Assault,42.31462973,-71.0926152
Others,42.34942864,-71.06536641
Others,42.34412484,-71.05685339
Accident,0.0,0.0
Others,42.36038173,-71.06285768
Murder,42.36666678,-71.0379296
Fraud,42.3412875,-71.05467933
Others,42.28709355,-71.14822128
Public Nuisance,42.32066146,-71.07067867
Theft,42.25621592,-71.12401947
Assault,42.34928569,-71.1467272
Others,42.37901498,-71.03920664
Others,42.34932471,-71.08014801
Theft,42.29755533,-71.0597091
Fraud,42.35771004,-71.06324997
Others,42.30971857,-71.10429432
Others,42.33798932,-71.08003746
Public Nuisance,42.3093638,-71.08416777
Assault,42.30971857,-71.10429432
Others,42.34412622,-71.09760878
Others,42.29755533,-71.0597091
Accident,42.37803936,-71.0304617
