Offence,Latitude,Longitude
Drugs,47.64938723,-122.3859737
Theft,47.67511789,-122.3233991
Robbery,47.66638407,-122.2995522
Public Nuisance,47.64292734,-122.3848648
Traffic Law,47.66219308,-122.3661953
Theft,47.60878866,-122.3384495
Public Nuisance,47.68052695,-122.3553091
Theft,47.52102758,-122.367312
Traffic Law,47.69761617,-122.3120778
Theft,47.61468385,-122.316845
Theft,47.61465549,-122.3207895
Fraud,47.66247336,-122.3207201
Theft,0.0,0.0
Missing,0.0,0.0
Theft,47.5859559,-122.3159768
Fraud,47.61932364,-122.3208637
Theft,47.61156267,-122.3167789
Public Nuisance,47.54294056,-122.322909
Theft,47.66218058,-122.3131157
Theft,47.62394954,-122.3619389
Public Nuisance,47.57140627,-122.3320067
Drugs,47.60188591,-122.3305103
Theft,47.61859552,-122.3537511
Theft,47.6308944,-122.3618048
Sex Crime,47.61221899,-122.3088636
Harrassment,47.61221899,-122.3088636
Theft,47.71354798,-122.3448343
Theft,47.55638651,-122.3147834
Theft,47.57999734,-122.3048946
Theft,47.66218058,-122.3131157
Theft,47.60709807,-122.3089363
Theft,47.5565447,-122.381494
Theft,47.57876794,-122.3299887
Robbery,47.60512615,-122.3304938
Theft,47.65912603,-122.3456394
Fraud,47.61044597,-122.3361287
Theft,47.51654951,-122.3780953
Theft,47.58323011,-122.3838211
Theft,47.60291195,-122.3346078
Theft,47.6185566,-122.3436501
Theft,47.60169935,-122.3201595
Theft,47.66007201,-122.3456281
Traffic Law,47.67889074,-122.2622281
Theft,47.66365981,-122.3721802
Public Nuisance,0.0,0.0
Sex Crime,0.0,0.0
Robbery,47.61760538,-122.3162386
Public Nuisance,47.55049818,-122.2875865
Theft,47.61018167,-122.3351198
Harrassment,47.60478099,-122.3194119
Theft,47.72503555,-122.3449968
Robbery,47.72503555,-122.3449968
Public Nuisance,47.65137209,-122.3875585
Theft,47.7086028,-122.3246152
Theft,47.59835127,-122.3247315
Theft,47.59750785,-122.3220524
Fraud,47.68015558,-122.3246114
Theft,47.70400593,-122.3168776
Theft,47.55286188,-122.3722737
Theft,47.66504444,-122.3721785
Theft,47.61704694,-122.3244959
Public Nuisance,47.58435803,-122.2990223
Theft,47.60960404,-122.3292211
Fraud,47.52516304,-122.3550803
Fraud,47.5516102,-122.2881116
Traffic Law,47.70599117,-122.3554597
Theft,47.66365981,-122.3721802
Fraud,47.6161341,-122.3501864
Theft,47.52193839,-122.3645424
Public Nuisance,47.54625,-122.3261532
Theft,47.61465549,-122.3207895
Theft,47.59828697,-122.3309763
Drugs,47.63595428,-122.3663399
Theft,47.62460516,-122.3625869
Theft,47.66329603,-122.3686056
Theft,47.67497945,-122.3165105
Theft,47.61597109,-122.3528875
Theft,47.67497945,-122.3165105
Theft,47.64217288,-122.3983095
Theft,47.64176879,-122.346255
Theft,47.5360414,-122.3612977
Theft,47.61588661,-122.337879
Theft,47.61393023,-122.3278046
Theft,47.60218964,-122.3167819
Public Nuisance,47.62107587,-122.3208917
Theft,47.62642066,-122.3308441
Theft,47.59709367,-122.3250637
Theft,47.55200342,-122.379319
Theft,47.55200342,-122.379319
Theft,47.62454524,-122.3364793
Theft,47.57019913,-122.2807309
Theft,47.61090902,-122.3350179
Robbery,47.60241242,-122.3310822
Theft,47.57927478,-122.3775425
Theft,47.65046915,-122.3544837
Theft,47.5992282,-122.3109248
Theft,47.60872352,-122.3406309
Theft,47.59678343,-122.3332682
Theft,47.61236106,-122.3179139
Robbery,47.64004087,-122.4009926
Public Nuisance,47.56929162,-122.376135
Theft,47.70266813,-122.3204373
Theft,47.7086028,-122.3246152
Theft,47.66867356,-122.3888607
Theft,47.59076389,-122.3172804
Theft,47.62758727,-122.3449377
Theft,47.5985085,-122.286922
Theft,47.71354798,-122.3448343
Drugs,47.71354798,-122.3448343
Theft,47.61264032,-122.3243206
Public Nuisance,47.62500382,-122.3514838
Theft,47.60882096,-122.3400134
Theft,47.65982286,-122.3154809
Fraud,47.56935997,-122.3921082
Theft,47.60951744,-122.3383483
Public Nuisance,47.69906761,-122.3419277
Theft,47.68253569,-122.3007449
Theft,47.65980204,-122.3137464
Theft,47.66221425,-122.3184088
Public Nuisance,47.72323367,-122.3555467
Theft,47.66595739,-122.3826663
Theft,47.61097516,-122.3381467
Theft,47.61730887,-122.3531686
Theft,47.67032171,-122.2908224
Theft,47.61730887,-122.3531686
Theft,47.56558373,-122.3774476
Public Nuisance,47.56473744,-122.3874491
Theft,47.61669063,-122.3461706
Theft,47.56742553,-122.3774455
Theft,47.61588924,-122.300082
Public Nuisance,47.66129873,-122.3176382
Theft,47.61523114,-122.3234155
Theft,47.61628073,-122.3335771
Public Nuisance,47.64254854,-122.3555535
Theft,47.54761638,-122.3343147
Public Nuisance,47.68592294,-122.3269746
Public Nuisance,47.65912662,-122.3466944
Theft,47.72323212,-122.3548662
Fraud,47.57215315,-122.3770917
Theft,47.63239628,-122.2826873
Theft,47.66292138,-122.365097
Theft,47.62586164,-122.3638837
Theft,47.65832864,-122.3143633
Public Nuisance,47.6158847,-122.3329419
Theft,47.65604983,-122.3544666
Theft,47.5925535,-122.3062415
Theft,47.54098986,-122.3549567
Theft,47.57291861,-122.2940056
Theft,47.59748648,-122.3102781
Theft,47.51343904,-122.2524097
Robbery,47.66867758,-122.3839286
Traffic Law,47.55749757,-122.386883
Public Nuisance,47.63955855,-122.309874
Sex Crime,0.0,0.0
Public Nuisance,47.71513112,-122.3125337
Traffic Law,47.58843686,-122.3159813
Theft,47.61090902,-122.3350179
Public Nuisance,47.61570317,-122.3088448
Public Nuisance,47.55484507,-122.266995
Theft,47.58501972,-122.3032572
Theft,47.65905498,-122.3131878
Public Nuisance,47.51827906,-122.3578464
Theft,47.62370445,-122.3230489
Theft,47.66138576,-122.3356833
Traffic Law,47.53973286,-122.3003637
Traffic Law,47.53704231,-122.2812932
Missing,0.0,0.0
Harrassment,47.65849092,-122.3208416
Robbery,47.67539722,-122.3156579
Theft,47.70858578,-122.3219184
Theft,47.69602207,-122.35334
Fraud,47.64777379,-122.3560916
Fraud,47.59857935,-122.3022315
Theft,47.61927445,-122.3248291
Theft,47.62673542,-122.3619148
Public Nuisance,47.62673542,-122.3619148
Theft,47.68674595,-122.3189025
