Offence,Latitude,Longitude
Theft,38.92302665,-77.03403068
Robbery,38.92666886,-77.0509852
Theft,38.92641967,-76.95655721
Sex Crime,38.93683705,-77.05576761
Assault,38.91777058,-77.00623831
Theft,38.89955586,-76.9984437
Theft,38.92308754,-77.04081148
Robbery,38.90717693,-76.99839742
Theft,38.90923548,-77.03196029
Theft,38.9165788,-77.06983097
Theft,38.91482277,-77.02294587
Theft,38.93241901,-77.07839276
Theft,38.91481553,-77.01067732
Theft,38.90837932,-77.03326274
Theft,38.91483065,-77.02808852
Theft,38.89954637,-76.98927885
Theft,38.89095258,-76.99153938
Theft,38.93457746,-77.025605
Theft,38.9368799,-77.06018523
Murder,38.91111279,-77.01367457
Murder,38.88583279,-76.92938078
Murder,38.88035844,-76.98831363
Robbery,38.84282059,-76.99087698
Robbery,38.91422137,-77.04611044
Theft,38.90251058,-77.00281298
Theft,38.88653878,-77.00005763
Theft,38.89672287,-77.03197774
Theft,38.88989756,-76.95081616
Theft,38.88388287,-77.02456921
Theft,38.9056349,-77.01942654
Theft,38.91408994,-77.03553691
Theft,38.87647641,-77.00005762
Robbery,38.87555741,-77.00586584
Robbery,38.91202243,-76.9847341
Robbery,38.90327031,-76.9407539
Robbery,38.93237173,-77.01873029
Robbery,38.85586037,-76.96654283
Theft,38.95875845,-77.00297673
Robbery,38.89889589,-76.97645979
Robbery,38.92951301,-77.03273055
Theft,38.88346602,-76.98551242
Theft,38.90763637,-76.99946965
Theft,38.89181763,-76.95398473
Theft,38.88756386,-77.02092002
Theft,38.8941407,-76.98365437
Theft,38.93129007,-77.02250137
Theft,38.94362901,-77.03273703
Theft,38.87840334,-77.01424453
Theft,38.92430311,-77.04236902
Robbery,38.92915045,-76.96010768
Robbery,38.86887912,-76.9465786
Theft,38.92306019,-77.04174555
Theft,38.87113081,-76.97093766
Theft,38.91810981,-77.02757091
Assault,38.86351143,-76.97902942
Theft,38.91356216,-77.01990144
Theft,38.92328539,-77.04176875
Theft,38.9163543,-76.97763018
Theft,38.93696491,-77.0244063
Theft,38.92821719,-77.02740183
Theft,38.95110027,-77.01670479
Robbery,38.89665246,-76.94765293
Theft,38.92221165,-76.99315012
Robbery,38.90684283,-77.01366222
Theft,38.94027081,-77.02511105
Theft,38.83252395,-76.9911432
Robbery,38.90132008,-77.01829558
Theft,38.86796133,-76.94897608
Robbery,38.86543005,-76.97809552
Theft,38.91993838,-77.02809053
Theft,38.89914906,-76.98167039
Theft,38.90490371,-77.027047
Theft,38.92375719,-77.03092891
Theft,38.92084338,-77.04381994
Robbery,38.92065886,-77.02884036
Theft,38.88759227,-76.98928065
Theft,38.91755117,-77.02808959
Theft,38.93394686,-76.97433756
Theft,38.88420198,-77.02911377
Theft,38.91984218,-76.95290576
Theft,38.90490395,-77.02598633
Theft,38.90069847,-77.04947949
Theft,38.92649049,-76.9914775
Theft,38.95889695,-77.0364015
Theft,38.92468393,-77.05763786
Theft,38.89417772,-76.99376376
Robbery,38.91259855,-77.01814858
Assault,38.85519809,-76.98973483
Theft,38.91628901,-77.03195192
Theft,38.86730286,-76.9735434
Theft,38.9216993,-77.04346298
Theft,38.92020028,-77.02519624
Theft,38.92057344,-77.04297797
Theft,38.89147537,-76.99951587
Robbery,38.82848835,-77.00588501
Theft,38.86288973,-76.94927928
Theft,38.92873804,-77.03364129
Theft,38.90846112,-77.08516887
Theft,38.90456996,-77.02885692
Theft,38.92539589,-77.03387036
Assault,38.89996894,-76.98246563
Theft,38.92539589,-77.03387036
Theft,38.92161,-77.0413065
Theft,38.90133056,-77.04577931
Theft,38.92791405,-76.99618267
Theft,38.88650819,-76.94580468
Theft,38.92817081,-77.03259154
Theft,38.90020399,-77.01062902
Theft,38.88719599,-76.9902489
Theft,38.91742723,-77.01676609
Theft,38.88758302,-76.98691778
Theft,38.90191606,-76.9995158
Theft,38.92642209,-76.96363814
Theft,38.91864166,-77.02600287
Theft,38.90420331,-77.01434192
Theft,38.9419015,-77.0242119
Robbery,38.95264951,-77.01793958
Theft,38.95501927,-77.01360223
Robbery,38.90020447,-77.00131422
Murder,38.84375781,-77.00195825
Robbery,38.89448358,-76.98831132
Theft,38.92014854,-76.99031358
Theft,38.87178917,-76.97409487
Robbery,38.89010352,-76.97543683
Robbery,38.90723606,-77.03032222
Theft,38.95116132,-77.02734143
Theft,38.92562806,-77.04030552
Theft,38.92699302,-77.02293826
Theft,38.90808616,-76.98789403
Theft,38.91441832,-77.01759558
Theft,38.87779295,-77.02169507
Theft,38.88471751,-76.98077509
Theft,38.88432903,-76.9477196
Theft,38.94264143,-77.01716421
Theft,38.92551221,-77.03648825
Theft,38.93939364,-77.08795105
Theft,38.90564774,-77.03982153
Theft,38.92367183,-77.04424836
Murder,38.86225194,-76.99319044
Murder,38.90910587,-76.93719791
Murder,38.82802906,-77.00057583
Theft,38.85155377,-76.96458639
Robbery,38.90019544,-76.99731392
Theft,38.88271914,-76.99558577
Theft,38.90420383,-76.99090372
Theft,38.87927798,-77.00323848
Murder,38.9574774,-77.02115976
Sex Crime,38.90148982,-76.97418784
Assault,38.91699278,-77.02757048
Assault,38.91260227,-77.03958328
Theft,38.85685876,-76.96151911
Theft,38.9206337,-76.98008505
Theft,38.91557003,-77.02506776
Theft,38.91037918,-77.03326368
Theft,38.91037918,-77.03326368
Theft,38.92328539,-77.04176875
Robbery,38.89548079,-76.97219576
Theft,38.95238486,-77.03343326
Robbery,38.88978706,-76.9580556
Theft,38.90457467,-77.0627981
