,precinct,total,Fraud,Robbery,Traffic Law,Assault,Others,Public Nuisance,Gun Violence,Murder,Theft,Sex Crime,Drugs,Harrassment,Child Crime,Missing,Arson
0,1,651,14,321,47,170,34,28,7,4.0,15.0,5.0,5,1.0,,,
1,5,815,51,195,28,177,123,51,32,15.0,18.0,69.0,52,,2.0,2.0,
2,6,464,6,197,10,115,15,35,4,3.0,14.0,11.0,51,1.0,,,2.0
3,7,553,19,169,36,168,33,59,18,3.0,14.0,10.0,24,,,,
4,9,563,41,162,28,173,41,36,21,1.0,9.0,10.0,38,,,,3.0
5,10,551,29,152,20,149,91,56,7,,10.0,9.0,26,1.0,,,1.0
6,13,749,33,372,27,207,22,35,17,,10.0,8.0,18,,,,
7,14,1723,56,709,31,293,75,115,34,7.0,56.0,30.0,316,,,,1.0
8,17,274,12,98,18,108,7,11,7,,8.0,4.0,1,,,,
9,18,876,30,498,22,170,17,64,8,1.0,29.0,11.0,25,,,,1.0
10,19,526,9,277,31,137,24,20,2,2.0,14.0,7.0,3,,,,
11,20,365,20,165,10,91,15,21,9,1.0,21.0,7.0,3,,,,2.0
12,22,33,1,9,4,8,1,6,2,,1.0,,1,,,,
13,23,510,7,70,35,210,60,57,21,14.0,11.0,16.0,9,,,,
14,24,493,31,176,53,133,24,28,13,8.0,10.0,7.0,10,,,,
15,25,806,68,123,63,239,48,71,29,9.0,16.0,29.0,110,,,1.0,
16,26,327,21,46,37,131,34,20,13,5.0,7.0,7.0,6,,,,
17,28,566,28,125,21,128,35,41,29,12.0,11.0,9.0,125,2.0,,,
18,30,556,26,126,43,159,25,56,21,4.0,23.0,8.0,64,,,,1.0
19,32,819,36,123,60,282,65,73,48,26.0,14.0,8.0,79,1.0,1.0,1.0,2.0
20,33,593,14,181,33,227,38,26,18,5.0,18.0,7.0,25,,,1.0,
21,34,380,5,77,33,138,22,24,22,19.0,11.0,6.0,21,,,1.0,1.0
22,40,1269,33,216,50,489,81,116,66,24.0,31.0,28.0,132,1.0,1.0,1.0,
23,41,597,10,110,14,194,43,51,16,9.0,29.0,88.0,31,,,,2.0
24,42,902,9,105,27,387,62,95,77,18.0,31.0,16.0,71,1.0,,1.0,2.0
25,43,1119,42,256,34,467,70,77,57,7.0,36.0,32.0,39,,,1.0,1.0
26,44,1606,139,289,68,530,140,101,89,14.0,100.0,39.0,95,1.0,,,1.0
27,45,471,15,111,53,192,23,24,15,2.0,13.0,15.0,7,,,1.0,
28,46,1017,26,175,48,420,70,61,55,21.0,37.0,36.0,67,,,,1.0
29,47,1111,27,139,45,488,74,126,80,20.0,46.0,25.0,37,,1.0,3.0,
30,48,821,31,129,26,357,37,71,47,15.0,27.0,19.0,60,,,,2.0
31,49,499,15,118,27,190,66,19,16,8.0,13.0,10.0,16,,,,1.0
32,50,518,19,149,46,177,23,39,21,2.0,20.0,7.0,14,,1.0,,
33,52,1040,32,215,40,342,54,72,61,9.0,75.0,17.0,121,,2.0,,
34,60,658,23,156,44,204,80,28,22,4.0,42.0,14.0,40,,,1.0,
35,61,449,24,90,34,143,68,23,12,,25.0,11.0,17,,,2.0,
36,62,503,22,113,56,167,38,25,7,4.0,21.0,17.0,33,,,,
37,63,425,20,98,60,133,40,26,17,5.0,12.0,9.0,5,,,,
38,66,383,15,98,25,147,53,15,5,,7.0,12.0,5,,,1.0,
39,67,859,42,118,49,366,118,55,58,6.0,12.0,16.0,17,,,,2.0
40,68,407,21,83,76,97,41,19,15,2.0,7.0,7.0,38,,,1.0,
41,69,442,26,40,48,168,73,16,37,2.0,12.0,3.0,15,,,,2.0
42,70,694,27,183,24,284,62,25,28,3.0,22.0,12.0,23,,,1.0,
43,71,587,40,65,75,221,68,19,42,2.0,17.0,11.0,27,,,,
44,72,636,32,169,50,176,60,25,17,1.0,52.0,8.0,46,,,,
45,73,794,27,97,28,324,70,52,96,7.0,28.0,19.0,45,,,,1.0
46,75,1331,28,338,42,470,154,55,79,11.0,81.0,23.0,47,,,2.0,1.0
47,76,239,18,37,23,75,31,11,6,2.0,14.0,1.0,20,,,,1.0
48,77,581,10,105,27,196,49,30,29,4.0,30.0,72.0,29,,,,
49,78,353,15,107,35,111,24,14,12,,18.0,10.0,7,,,,
50,79,860,21,211,37,270,108,49,62,16.0,30.0,9.0,47,,,,
51,81,451,38,67,24,174,40,19,41,3.0,10.0,4.0,31,,,,
52,83,670,32,116,21,240,84,34,28,5.0,26.0,10.0,73,,,1.0,
53,84,623,16,192,15,160,80,27,6,21.0,37.0,53.0,15,,,1.0,
54,88,207,10,30,14,71,18,9,18,,10.0,9.0,18,,,,
55,90,568,34,129,29,198,63,29,32,2.0,16.0,4.0,31,,,1.0,
56,94,376,13,140,19,114,28,14,15,1.0,15.0,7.0,9,,,1.0,
57,100,268,16,36,18,84,56,20,10,2.0,8.0,6.0,10,,,2.0,
58,101,406,6,47,28,181,66,22,12,8.0,5.0,12.0,19,,,,
59,102,722,20,79,44,279,142,36,19,16.0,14.0,41.0,30,,,,2.0
60,103,933,26,178,28,334,87,53,49,12.0,40.0,47.0,75,,,2.0,2.0
61,104,544,21,86,62,229,64,41,10,1.0,11.0,10.0,9,,,,
62,105,670,22,84,32,275,94,42,35,9.0,40.0,23.0,13,1.0,,,
63,106,636,14,121,42,287,73,27,23,4.0,16.0,19.0,9,,1.0,,
64,107,554,31,129,36,185,89,23,13,5.0,13.0,19.0,9,,,1.0,1.0
65,108,504,47,66,35,228,43,24,6,3.0,20.0,26.0,5,,,,1.0
66,109,905,63,333,38,252,112,32,15,5.0,17.0,20.0,16,,,1.0,1.0
67,110,749,24,224,27,310,56,33,16,8.0,10.0,29.0,12,,,,
68,111,233,18,22,54,87,29,3,6,,,9.0,5,,,,
69,112,438,19,101,77,75,41,7,7,,4.0,96.0,9,,,2.0,
70,113,1023,78,183,63,286,146,79,101,10.0,33.0,18.0,25,,,,1.0
71,114,1084,64,181,148,394,104,44,43,6.0,21.0,17.0,60,,1.0,1.0,
72,115,796,38,111,57,311,79,30,74,1.0,29.0,24.0,42,,,,
73,120,963,41,152,92,258,136,55,42,8.0,21.0,36.0,119,,,1.0,2.0
74,121,681,30,145,110,180,79,41,20,1.0,16.0,9.0,49,,,,1.0
75,122,395,42,44,55,125,54,11,9,3.0,8.0,12.0,32,,,,
76,123,233,7,39,67,70,15,19,4,,3.0,3.0,6,,,,
