,precinct,total,Theft,Public Nuisance,Fraud,Traffic Law,Robbery,Drugs,Gun Violence,Others,Sex Crime,Harrassment,Arson
0,ALASKA JUNCTION,798,540,105,68.0,43.0,23.0,1.0,7.0,5.0,3.0,2.0,1.0
1,ALKI,214,121,38,33.0,15.0,6.0,,,1.0,,,
2,BALLARD NORTH,1130,785,135,93.0,39.0,33.0,16.0,9.0,10.0,1.0,3.0,6.0
3,BALLARD SOUTH,1979,1440,228,145.0,37.0,63.0,37.0,14.0,5.0,3.0,3.0,4.0
4,BELLTOWN,1193,806,162,88.0,25.0,43.0,47.0,14.0,2.0,3.0,1.0,2.0
5,BITTERLAKE,984,606,112,110.0,46.0,39.0,22.0,9.0,9.0,31.0,,
6,BRIGHTON/DUNLAP,514,271,95,50.0,20.0,46.0,13.0,12.0,2.0,3.0,2.0,
7,CAPITOL HILL,2577,1508,379,253.0,127.0,125.0,108.0,50.0,8.0,9.0,4.0,6.0
8,CENTRAL AREA/SQUIRE PARK,1043,609,194,104.0,42.0,36.0,34.0,11.0,4.0,2.0,5.0,2.0
9,CLAREMONT/RAINIER VISTA,433,276,66,23.0,7.0,38.0,9.0,10.0,,1.0,,3.0
10,COLUMBIA CITY,237,159,21,31.0,4.0,13.0,,6.0,1.0,1.0,,1.0
11,COMMERCIAL DUWAMISH,47,27,8,1.0,9.0,,,1.0,1.0,,,
12,COMMERCIAL HARBOR ISLAND,34,18,6,,9.0,,,,1.0,,,
13,DOWNTOWN COMMERICAL,4190,2712,389,284.0,95.0,296.0,263.0,103.0,22.0,15.0,4.0,7.0
14,HILLMAN CITY,194,108,32,23.0,9.0,15.0,2.0,2.0,,,1.0,2.0
15,EASTLAKE - EAST,49,33,3,6.0,,,4.0,3.0,,,,
16,EASTLAKE - WEST,303,218,40,27.0,4.0,3.0,,5.0,3.0,,2.0,1.0
17,FAUNTLEROY SW,297,221,31,21.0,6.0,9.0,5.0,3.0,1.0,,,
18,FIRST HILL,1478,830,298,145.0,67.0,54.0,47.0,26.0,3.0,2.0,3.0,3.0
