,Accident,Arson,Assault,Child Crime,Drugs,Fraud,Gun Violence,Human Trafficking,Missing,Murder,Others,Public Nuisance,Robbery,Sex Crime,Theft,Traffic Law,total,precinct
0,,0.0,26.0,,,,,,,4.0,,,155,2.0,511,,725,401
1,,0.0,5.0,,,,,,,0.0,,,44,0.0,196,,249,201
2,,0.0,36.0,,,,,,,4.0,,,107,3.0,390,,562,406
3,,0.0,36.0,,,,,,,2.0,,,84,4.0,336,,489,402
4,,0.0,13.0,,,,,,,0.0,,,99,4.0,396,,517,202
5,,0.0,42.0,,,,,,,5.0,,,138,6.0,321,,542,403
6,,0.0,22.0,,,,,,,2.0,,,65,7.0,412,,516,203
7,,0.0,39.0,,,,,,,1.0,,,143,4.0,371,,574,405
8,,0.0,44.0,,,,,,,1.0,,,179,3.0,560,,820,404
9,,0.0,28.0,,,,,,,7.0,,,135,4.0,283,,486,407
10,,0.0,7.0,,,,,,,0.0,,,46,1.0,188,,245,205
11,,0.0,63.0,,,,,,,2.0,,,222,5.0,585,,934,503
12,,0.0,14.0,,,,,,,1.0,,,84,2.0,495,,613,204
13,,0.0,19.0,,,,,,,6.0,,,112,0.0,293,,443,504
14,,0.0,78.0,,,,,,,4.0,,,280,6.0,683,,1086,302
15,,0.0,30.0,,,,,,,4.0,,,112,3.0,253,,418,408
16,,0.0,24.0,,,,,,,3.0,,,91,4.0,313,,449,409
17,,0.0,83.0,,,,,,,3.0,,,224,4.0,487,,828,502
18,,0.0,46.0,,,,,,,3.0,,,114,1.0,596,,808,505
19,,0.0,25.0,,,,,,,2.0,,,147,1.0,316,,513,306
20,,0.0,36.0,,,,,,,4.0,,,149,3.0,430,,639,304
21,,0.0,32.0,,,,,,,0.0,,,199,5.0,691,,952,303
22,,0.0,37.0,,,,,,,0.0,,,188,6.0,861,,1124,208
23,,0.0,64.0,,,,,,,3.0,,,323,4.0,971,,1393,305
24,,0.0,25.0,,,,,,,2.0,,,180,2.0,492,,721,301
25,,0.0,50.0,,,,,,,10.0,,,102,2.0,122,,309,601
26,,1.0,20.0,,,,,,,2.0,,,174,1.0,767,,999,206
27,,2.0,123.0,,,,,,,2.0,,,223,6.0,526,,973,506
28,,0.0,53.0,,,,,,,8.0,,,186,1.0,505,,771,308
29,,0.0,42.0,,,,,,,3.0,,,251,6.0,1028,,1404,307
30,,0.0,81.0,,,,,,,4.0,,,385,10.0,875,,1439,501
31,,0.0,116.0,,,,,,,11.0,,,297,9.0,421,,1011,602
32,,3.0,48.0,,,,,,,3.0,,,189,7.0,801,,1102,207
33,,1.0,179.0,,,,,,,16.0,,,219,8.0,521,,1044,507
34,,1.0,27.0,,,,,,,5.0,,,82,11.0,274,,580,102
35,,1.0,32.0,,,,,,,0.0,,,75,2.0,579,,703,209
36,,0.0,44.0,,,,,,,1.0,,,175,11.0,505,,782,101
37,,1.0,86.0,,,,,,,6.0,,,196,5.0,282,,655,608
38,,0.0,42.0,,,,,,,1.0,,,210,4.0,665,,952,104
39,,1.0,150.0,,,,,,,17.0,,,281,8.0,431,,1043,603
40,,0.0,13.0,,,,,,,1.0,,,114,5.0,438,,580,108
41,,0.0,17.0,,,,,,,0.0,,,62,6.0,270,,367,103
42,,0.0,35.0,,,,,,,2.0,,,171,5.0,499,,757,107
43,,0.0,53.0,,,,,,,9.0,,,345,7.0,883,,1340,106
44,,1.0,113.0,,,,,,,12.0,,,251,9.0,306,,771,604
45,,0.0,56.0,,,,,,,7.0,,,140,1.0,188,,443,605
46,,0.0,38.0,,,,,,,4.0,,,59,2.0,162,,295,105
47,,0.0,118.0,,,,,,,11.0,,,156,6.0,357,,711,607
48,,0.0,81.0,,,,,,,10.0,,,141,5.0,239,,543,701
49,,0.0,89.0,,,,,,,13.0,,,135,6.0,172,,476,703
50,,0.0,37.0,,,,,,,4.0,,,131,5.0,287,,498,606
51,,0.0,88.0,,,,,,,11.0,,,131,4.0,186,,469,702
52,,0.0,112.0,,,,,,,9.0,,,131,4.0,171,,481,704
53,,0.0,79.0,,,,,,,7.0,,,103,4.0,88,,331,707
54,,0.0,76.0,,,,,,,9.0,,,145,5.0,119,,403,705
55,,0.0,105.0,,,,,,,11.0,,,155,3.0,171,,526,706
56,,0.0,140.0,,,,,,,20.0,,,147,2.0,217,,589,708
